,SerialNumber
1956,"Customer missing sheet metal section splice plates between main PDU and sidecar. Need part 97-2100643-00 for each of (6) PDU/Sidecars. Email with photos from Sean Tinder is attached, as well as drawing of part needed. "
1957,Customer ordered a custom upgrade to add (1) Subfeed breaker to each of (6) PDUs. Customer received shipment and it had no circuit breakers. Upgrade kit was missing all of the pieces below. subeed Cb	CKB66008T	6 3/0 wire	WRE56472	144ft 3/0 lug	LUG66859	36 3/0 ferrule	LUG66724	36 3/8 nut	BLT56604	36 3/8 flat	04-73328	36 Lug kit	LUG69732	6 
1958,SWITCH requested to buy PDUs with no plug-on breakers installed. Decision was made by someone at PDI to not install bus fingers to connect breaker plug-on base to the PDU main bus. Will need to install fingers in the field to all breaker bases. 
1959,"bad main fan site CyrusOne 9554 Westover Hills Blvd (SAT 2.1) San Antonio, TX "
1960,Feed through lugs PN LUG56953 were ordered. but were never supplied. 
1961,Bus alignment issues between main breaker and PDU sections. 
1962,"possible SCR issue site Wells Fargo 101 Leaf Lake Pkwy Birmingham, AL "
1963,Need to replace M4 Display PCB57701 
1964,RPP 5B panels 3 and 4 due to false amp reading See pictures attached. 
1965,Breaker Base - Issue with 'C' Phase 
1966,Touch Up Paint Request 
1967,Missing kickplates - 2 side P/N PNL66095 Missing kickplates - 2 center P/N PNL66096 
1968,the lcd monitor display is gone - See pictures attached 
1969,"Display screen is stuck on ""active alarm"" and will not move off of that. "
1970,"We are an engineering firm working on a project for Crayola (original owner was Binney & Smith). We would like to request O&M information on these 3 PDU units. We would like to know the exact Square D primary transformer and secondary panel breakers that were installed in these units, if possible. Serial #110-1643 Sales #7547 Model: PP12-4-050-G-641 "
1971,I need to locate the mib file for the PDI PDU's we have in house. Model Number:	PP13-WS-300-G-641 
1972,COMM Alarm 
1973,We bought 5 PDUs (PP124125G64102D) in 2005 for a project with Daimler (previously Freightliner) and they have downsized their data center and wanted to see what the possibilities are of removing the sidecars on two of the PDUs. These are being relocated to a smaller room and they don't have the space or need for 4 panel boards. 
1974,BCMS Plus 
1975,Panel on cabinet has bubbles in paint. Needs to be sanded and repainted. Schneider Electric PO 1258595 
1976,Please send QTY (50) Harting latches to replace latches broken. Please confirm shipment to Darcy Friedman - darcyf@uspwr.com with packing slip and tracking number. Please make sure that package is addressed to Matthew Doris and not to last contact at site. Thank you. 
1977,"Of the 14 tap boxes that we provided, a rod has broken in three of them. I appears to be the rod that moves the fingers into place when the cam lever is moved. Have you seen this elsewhere? How do we best repair this? "
1978,Request for Preventative Maintenance 
1979,"Service - this is Evan, I'm submitting for Don so it gets into Salesforce / Ticket System. I don't have the serial numbers however the are PowerPak 2 units we shipped about 3-4 months ago. Do you have insight to the output breaker data points?! We need to get KWH from the output breakers, how can we do this with PDI equipment? Please let me know, you can call me or a quick email telling me the point is I hope, hidden! Thanks! Don "
1980,"Display is blank on three of the units. One of them is also going in and out of alarm. (Static switch 2 alarm, Static switch in alarm cleared). I would like to get someone out to check these units. All four should have a PM done. site ISS HP 15555 Cutten Rd Houston, TX 77070 "
1981,Name plates state an output of 208/120 and should be 400/230. New name plates required as soon as possible. Please confirm no other issues related to this name plate error. 
1982,Information requested. 
1983,Requested order of 6 LCH59000 door locks. PO# 6615-005 received. 
1984,Customer called stating the Monitor on STS 411-0005 is blank. 
1985,We shipped Qty(4) 1000Amp TFA STS Units last Night and they left ALL the Keys in the STS Units. The information on the Units are: 1.	SO#29261 / JO#I2E80 / Serial #ís: 14400004-11 14400004-12 14400004-13 14400004-14 
1986,needs BCMS board replaced PCB10897 
1987,experiencing a SAS TX2 Down alarm on a unit that keeps going in and out at the unit locally. Information for the unit is as follows SPDU4-B6 Model Number: PP13-X-300-G-641 Serial Number: 442-0175-2a located inside Delta Data Hall 402. 
1988,Request taps change from 208 to 400/230 
1989,PDU is showing low input amp and high current alarms when the load is less than five (5) amp. alarms are coming in overnight when facility is down and alarms are cleared when contractor arrives. 
1990,SAS Tx 3 Down. 
1991,Source: STE201_STS1B_SUMMARY_ALARM Alarm Time: 19-Jun-18 8:57:43 AM EDT State: Offnormal / Unacked Normal Time: null Alarm Class: TP_CLT_PDUS Message: IN ALARM!! Alarm Note: %err:alarm:AlarmRecord:err:baja:Facets:notes% Alarm Description: %err:alarm:AlarmRecord:err:baja:Facets:description% Alarm Instructions: %err:alarm:AlarmRecord:err:baja:Facets:instructions% 
1992,Bad Shunt-trip LC11021 
1993,"Branch Circuit Breakers were shipped 6 short. 196 ordered, 190 received by customer. "
1994,UPGRADE: 1-BZL11671 ñ Deadfront Bezel 1-CKB10158 ñ Input Breaker 3-FUS30320 ñ Fuse Holder 3-FUS-FNQ-R-1.5 ñ 1.5A Fuse 1-MOD11307 ñ Voltage harness 20í-WRE-032-THHN-BK ñ Input Wire 
1995,Unit has SAS D SCR 1 Pulse off alarm showing on display. 
1996,"#1: Breakers CKB14312 are incorrect for untis for PDU. #2: Breakers were also shipped out w/o NETA testing. Upgrade Exisiting PDU with 2 Output Breakers.(Related to Case# 18445) Includes: Mounting Hardware (1)-CKB14312 ñ SQD# LGP36250CU31X (3)-98-90417-104 ñ Glastic Divider (2)-BUS58129 ñ B Phase Busbar (2)-BUS58130 ñ A&C Phase Busbar (8)-BLT57962 ñ 10-32,1/2,STL,MS,TRUSS,PH (6)-BLT56604 ñ 3/8-16,KEPS,CONIC,ZI (6)-BLT57960 ñ M10,30mm,GR8.8 (12)-04-73328 ñ 3/8, FLAT, USS (12)-FAHDKB.375 ñ 3/8 BELLEVILLE WSHR GR8 PLATED (4)-TSP00016 ñ 4"" DIN RAIL (2)-TSP01344 ñ DIN RAIL END CLIP (3)-FUS07888 ñ FUSE HOLDER (3)-FUS57508 ñ 3A Fuse "
1997,"Message: For this Project: Kincora DH45, I have one more thing we need to do at the JobSite during Startup. One of the (4) STS listed below is missing panel per P/N PNL65597. The photos are attached of where the panel goes on the one of the unit. Please put it on the unit during Startup. Not sure what unit it was left off of. Let me know if you have any questions or need any further assistance. Thank You for Your help with this request, Wayne A. Wood Shipping Manager "
1998,no indication lights which he believes indicates some sort of power issue and a possible need to replace the power board (as has been done in the past) troubleshoot communication issues on PDI bus Replace power inverter PCB11288 
1999,"We received a ( PDU/RPP,Wavestar ) Customer Part: 550-7740 (Serial Number 550-7740 ) can we set up a time to have this installed with one of the techs this was delivered UPS ground. "
2000,"verify wiring to modbus cards on 4 PDUs 110-0356, 110-1237, 110-2885-1-2 customer has been having issues with communications site Federal Home Loan Bank of Dallas 8500 Freeport Pkway Irving, TX 75063 "
2001,"Troubleshoot PDI issues PDU-A2 (110-2517-4), PDU-B2 (110-2517-3) Graphics THD values do not match display. UPDATE: PDU-A2 & B2 still not communicating with the BAS ñ All troubleshooting on the BAS side shows proper wiring connections, programming, and good communication voltages; the problem appears to be with the PDI equipment itself. We would like to cycle power to the unitís Modbus card to see if communication can be restored that way but we are reluctant to do so without knowing how the unit is internally wired. This is live and critical equipment for the data center operations so any work on the equipment should be performed by someone qualified to do so. PDU-3 (110-2971) Display is indicating 0.0 as power factor. UPDATE: kWh also reading zero. Existing equipment; may be providing bad info. site U S Treasury 4241 NE 34th Street Kansas City, MO 64117 "
2002,"displays have gone bad in three RPPs site Wells Fargo 101 Leaf Lake Pkwy Birmingham, AL "
2003,"troubleshoot display issues on two PDUs, serial # 110-4267 & 110-4064 site Digital Realty 900 Quality Way Richardson, TX "
2004,"troubleshoot possible calibration issue on PDUs T17-05-US-S-3378 T17-05-US-S-3379 site Argonne Data Center 9700 Cass Road Lemont, IL 60439 "
2005,110-1383 Unit 2B1b has communication problems. They are using SNMP and they haven't been able to communicate with the BCMS. They can communicate with the PDU fine. 110-2295-7 2A1A They have not been able to communicate with the PDU or BCMS they are using SNMP and they cant even ping the unit. we have been at the site several times and they need a tech to investigate. 
2006,"troubleshoot issues below 1.	1309432 DH02 - PDU-160202BP3 - Incorrect BCMS readings from Feeder Breakers 2.	1309359 Please contact PDI to have them check/replace the display screen on RPP_160505CR7-3 in DH-5 3.	1308299 Please have PDI dispatched to fix display monitor on RPP 160101BR26-1 in DH-1 4.	1306202 Need to contact PDI to have them come out to work on STS 160202CP12 Alarms in on STS 160202CP12 for the following alarms Crosscurrent 2 Auxiliary Fans On On Source (Alt) Summary Alarm Switch State SAS S1 Gated SAS S2 Gated site CyrusOne 1649 W Frankford Rd Carrollton, TX 75007 "
2007,"PDU_160607AP3-1 ñ This unit reports 53Kw total load, however the RPPs connected total 115Kw. The upstream STS reports a 106Kw load so we are confident the PDU is reporting incorrectly. Ticket open 3/13: 1315970. PDU 160607CP2-2 ñ Internal communication intermittently drops out, PDI needs to repair. Ticket open 3/16/19 :1317869 PDU_160505AP1 ñ Feeder breakers out of calibration. PDI needs to repair. Ticket open 3/18/19 : 1319384 STS 160606CP1 ñ Display not responding, needs to be replaced. Ticket open 3/7/19: 1311063 STS 160202AP1- Display hard to see, needs to be replaced. Ticket open 3/16/19: 1318481 site CyrusOne 1649 W Frankford Rd Carrollton, TX 75007 "
2008,"One time PM and IR scan on (2) PDUs and (2) RPPs site Anadarko 1201 Lake Robbins The Woodlands, TX 77380 "
2009,GREEN_IR0018870_STS Comm Alarm PHX15_Colo9_PDU42-1G: Comm issue Serial# 442-0081 Unit #1a GREEN_IR0033026_Comm Issue_PHX15_H105_STS/PDU 43-1H: Comm Issue Serial# 442-0110 Unit #1a GREEN_IR0035638_STS 43-2G Alarm Tx 2 PHX15_STS_43-2G: Tx 2 Alarm Serial# 442-0081 Unit #2a 
